Player,Ratio
Talen Horton-TuckerUTA | SG,27.305
Mo BambaPHI | C,27.305
Jalen WilliamsOKC | SG,24.765
Isaiah StewartDET | C,24.13
Robert Williams IIIPOR | C,24.13
Udoka AzubuikePHX | C,23.495
Kawhi LeonardLAC | SF,22.86
Frank Ntilikina| PG,22.86
Bilal CoulibalyWAS | SF,22.86
Josh OkogiePHX | SF,22.86
Nassir LittlePHX | SF,22.225
Reggie JacksonDEN | PG,22.225
Donovan MitchellCLE | SG,22.225
Andre DrummondCHI | C,21.59
Thomas BryantMIA | C,21.59
Kelly Oubre Jr.PHI | SF,21.59
Wendell Moore Jr.MIN | SG,21.59
Oscar TshiebweIND | C,20.955
Shake MiltonNYK | SG,20.955
Jarrett AllenCLE | C,20.955
Moses MoodyGSW | SG,20.955
DeAndre JordanDEN | C,20.955
Anthony DavisLAL | C,20.955
Jerami GrantPOR | PF,20.955
Keita Bates-DiopBKN | PF,20.32
Brandon IngramNOP | SF,20.32
OG AnunobyNYK | SF,20.32
Jordan WalshBOS | SF,20.32
P.J. WashingtonDAL | PF,20.32
Victor WembanyamaSAS | C,20.32
Rudy GobertMIN | C,20.32
Jarace WalkerIND | PF,20.32
Chris BoucherTOR | C,20.32
Keyontae JohnsonOKC | SF,20.32
Wendell Carter Jr.ORL | C,19.685
Kevin DurantPHX | PF,19.685
Ryan RollinsMIL | PG,19.685
Miles McBrideNYK | PG,19.685
Norman PowellLAC | SG,19.685
Terry RozierMIA | PG,19.685
Aaron HolidayHOU | PG,19.685
Scottie BarnesTOR | SF,19.685
Robert CovingtonPHI | PF,19.05
MarJon BeauchampMIL | SG,19.05
Draymond GreenGSW | PF,19.05
Kevon LooneyGSW | C,19.05
Bones HylandLAC | PG,19.05
Jaren Jackson Jr.MEM | PF,19.05
Marcus SmartMEM | PG,18.415
Shaedon SharpePOR | SG,18.415
Kyle AndersonMIN | PF,18.415
Mikal BridgesBKN | SF,18.415
Tari EasonHOU | PF,18.415
Jordan MillerLAC | SF,18.415
Pascal SiakamIND | PF,17.78
Charles BasseySAS | C,17.78
Scoot HendersonPOR | PG,17.78
Saben LeePHX | PG,17.78
Shai Gilgeous-AlexanderOKC | PG,17.78
JaVale McGeeSAC | C,17.78
Isaiah MobleyCLE | PF,17.78
David RoddyPHX | PF,17.78
De'Andre HunterATL | SF,17.78
Vince Williams Jr.MEM | SG,17.78
Anfernee SimonsPOR | PG,17.78
Deandre AytonPOR | C,17.78
Haywood HighsmithMIA | SF,17.78
Eric GordonPHX | SG,17.78
P.J. TuckerLAC | PF,17.78
Eugene OmoruyiWAS | SF,17.78
Naji MarshallNOP | SF,17.78
Terry TaylorCHI | PF,17.145
JT ThorCHA | PF,17.145
Malcolm BrogdonPOR | PG,17.145
Mike ConleyMIN | PG,17.145
Thanasis AntetokounmpoMIL | PF,17.145
Jalen DurenDET | C,17.145
Collin SextonUTA | PG,17.145
James HardenLAC | SG,17.145
Dalen TerryCHI | SG,17.145
Lonnie Walker IVBKN | SG,17.145
Dennis SchroderBKN | PG,17.145
Trendon WatfordBKN | PF,17.145
Ayo DosunmuCHI | SG,17.145
Derrick RoseMEM | PG,16.51
Matisse ThybullePOR | SF,16.51
Naz ReidMIN | C,16.51
Christian Koloko| C,16.51
Patrick BeverleyMIL | PG,16.51
D'Angelo RussellLAL | PG,16.51
Jaylen BrownBOS | SF,16.51
Clint CapelaATL | C,16.51
Bruno FernandoATL | C,16.51
Mark WilliamsCHA | C,16.51
Xavier TillmanBOS | PF,16.51
Cameron PaynePHI | PG,16.51
Nikola VucevicCHI | C,15.875
Cade CunninghamDET | SG,15.875
Jeff GreenHOU | PF,15.875
Blake WesleySAS | PG,15.875
Olivier-Maxence ProsperDAL | PF,15.875
Immanuel QuickleyTOR | PG,15.875
Herbert JonesNOP | SF,15.875
Rui HachimuraLAL | PF,15.875
Bol BolPHX | C,15.875
Brook LopezMIL | C,15.875
De'Anthony MeltonPHI | SG,15.875
Amen ThompsonHOU | SG,15.875
E.J. LiddellNOP | PF,15.875
Myles TurnerIND | C,15.875
Dominick BarlowSAS | PF,15.875
Ausar ThompsonDET | SG,15.875
Caleb MartinMIA | SF,15.875
Anthony EdwardsMIN | SG,15.24
Usman GarubaGSW | PF,15.24
Christian WoodLAL | PF,15.24
