Faculty,Publication,Citations
Good,Pub01,347
Good,Pub02,167
Good,Pub03,132
Good,Pub04,120
Good,Pub05,102
Good,Pub06,96
Good,Pub07,89
Good,Pub08,65
Good,Pub09,64
Good,Pub10,61
Good,Pub11,50
Good,Pub12,49
Good,Pub13,45
Good,Pub14,43
Good,Pub15,41
Good,Pub16,36
Good,Pub17,34
Good,Pub18,33
Good,Pub19,31
Good,Pub20,29
Good,Pub21,25
Good,Pub22,25
Good,Pub23,21
Good,Pub24,19
Good,Pub25,16
Good,Pub26,14
Good,Pub27,12
Good,Pub28,9
Good,Pub29,8
Good,Pub30,8
Good,Pub31,5
Good,Pub32,4
Good,Pub33,4
Good,Pub34,3
Good,Pub35,2
Good,Pub36,0
Good,Pub37,0
Multhaup,Pub01,225
Multhaup,Pub02,221
Multhaup,Pub03,211
Multhaup,Pub04,126
Multhaup,Pub05,119
Multhaup,Pub06,111
Multhaup,Pub07,60
Multhaup,Pub08,56
Multhaup,Pub09,42
Multhaup,Pub10,41
Multhaup,Pub11,33
Multhaup,Pub12,26
Multhaup,Pub13,24
Multhaup,Pub14,15
Multhaup,Pub15,15
Multhaup,Pub16,14
Multhaup,Pub17,14
Multhaup,Pub18,13
Multhaup,Pub19,13
Multhaup,Pub20,12
Multhaup,Pub21,11
Multhaup,Pub22,9
Multhaup,Pub23,6
Multhaup,Pub24,4
Multhaup,Pub25,3
Multhaup,Pub26,1
Multhaup,Pub27,1
Multhaup,Pub28,1
Multhaup,Pub29,1
Multhaup,Pub30,1
Multhaup,Pub31,1
Multhaup,Pub32,0
Multhaup,Pub33,0
Ramirez,Pub01,93
Ramirez,Pub02,89
Ramirez,Pub03,86
Ramirez,Pub04,74
Ramirez,Pub05,66
Ramirez,Pub06,50
Ramirez,Pub07,48
Ramirez,Pub08,46
Ramirez,Pub09,45
Ramirez,Pub10,37
Ramirez,Pub11,35
Ramirez,Pub12,35
Ramirez,Pub13,32
Ramirez,Pub14,32
Ramirez,Pub15,31
Ramirez,Pub16,30
Ramirez,Pub17,29
Ramirez,Pub18,29
Ramirez,Pub19,28
Ramirez,Pub20,28
Ramirez,Pub21,25
Ramirez,Pub22,25
Ramirez,Pub23,25
Ramirez,Pub24,24
Ramirez,Pub25,23
Ramirez,Pub26,23
Ramirez,Pub27,21
Ramirez,Pub28,19
Ramirez,Pub29,18
Ramirez,Pub30,18
Ramirez,Pub31,18
Ramirez,Pub32,17
Ramirez,Pub33,17
Ramirez,Pub34,15
Ramirez,Pub35,14
Ramirez,Pub36,11
Ramirez,Pub37,10
Ramirez,Pub38,9
Ramirez,Pub39,8
Ramirez,Pub40,7
Ramirez,Pub41,7
Ramirez,Pub42,6
Ramirez,Pub43,5
Ramirez,Pub44,5
Ramirez,Pub45,4
Ramirez,Pub46,4
Ramirez,Pub47,2
Ramirez,Pub48,1
Ramirez,Pub49,1
Ramirez,Pub50,1
Ramirez,Pub51,1
Ramirez,Pub52,0
Ramirez,Pub53,0
Ramirez,Pub54,0
Ramirez,Pub55,0
Ramirez,Pub56,0
Ramirez,Pub57,0
Ramirez,Pub58,0
Ramirez,Pub59,0
Salter,Pub01,374
Salter,Pub02,357
Salter,Pub03,249
Salter,Pub04,219
Salter,Pub05,182
Salter,Pub06,113
Salter,Pub07,86
Salter,Pub08,79
Salter,Pub09,72
Salter,Pub10,60
Salter,Pub11,54
Salter,Pub12,46
Salter,Pub13,30
Salter,Pub14,29
Salter,Pub15,23
Salter,Pub16,16
Salter,Pub17,14
Salter,Pub18,14
Salter,Pub19,13
Salter,Pub20,13
Salter,Pub21,12
Salter,Pub22,10
Salter,Pub23,9
Salter,Pub24,8
Salter,Pub25,5
Salter,Pub26,5
Salter,Pub27,5
Salter,Pub28,3
Salter,Pub29,2
Salter,Pub30,2
Salter,Pub31,2
Salter,Pub32,2
Salter,Pub33,1
Salter,Pub34,1
Salter,Pub35,0
Salter,Pub36,0
Salter,Pub37,0
Salter,Pub38,0
