Treatment,Dose,Infusions
Vehicle,0.003,16
Vehicle,0.003,18
Vehicle,0.003,24
Vehicle,0.003,9
Vehicle,0.003,31
Vehicle,0.003,90
Vehicle,0.003,21
Vehicle,0.003,16
Vehicle,0.003,83
Vehicle,0.003,14
Vehicle,0.003,55
Vehicle,0.003,19
Vehicle,0.003,12
Vehicle,0.003,24
Vehicle,0.003,38
Vehicle,0.003,56
Vehicle,0.003,55
Vehicle,0.003,19
Vehicle,0.003,12
Vehicle,0.003,19
Vehicle,0.003,5
Vehicle,0.003,13
Vehicle,0.003,41
Vehicle,0.001,41
Vehicle,0.001,27
Vehicle,0.001,39
Vehicle,0.001,131
Vehicle,0.001,25
Vehicle,0.001,139
Vehicle,0.001,29
Vehicle,0.001,32
Vehicle,0.001,98
Vehicle,0.001,28
Vehicle,0.001,97
Vehicle,0.001,81
Vehicle,0.001,14
Vehicle,0.001,47
Vehicle,0.001,63
Vehicle,0.001,48
Vehicle,0.001,97
Vehicle,0.001,81
Vehicle,0.001,14
Vehicle,0.001,16
Vehicle,0.001,26
Vehicle,0.001,11
Vehicle,0.001,42
Vehicle,0.003,84
Vehicle,0.003,130
Vehicle,0.003,78
Vehicle,0.003,137
Vehicle,0.003,49
Vehicle,0.003,189
Vehicle,0.003,88
Vehicle,0.003,43
Vehicle,0.003,180
Vehicle,0.003,28
Vehicle,0.003,72
Vehicle,0.003,60
Vehicle,0.003,24
Vehicle,0.003,20
Vehicle,0.003,37
Vehicle,0.003,98
Vehicle,0.003,72
Vehicle,0.003,60
Vehicle,0.003,24
Vehicle,0.003,79
Vehicle,0.003,19
Vehicle,0.003,27
Vehicle,0.003,55
Vehicle,0.01,61
Vehicle,0.01,45
Vehicle,0.01,39
Vehicle,0.01,68
Vehicle,0.01,36
Vehicle,0.01,75
Vehicle,0.01,17
Vehicle,0.01,14
Vehicle,0.01,86
Vehicle,0.01,15
Vehicle,0.01,39
Vehicle,0.01,25
Vehicle,0.01,18
Vehicle,0.01,16
Vehicle,0.01,33
Vehicle,0.01,36
Vehicle,0.01,39
