Player,Week,Points
Josh Allen,Week1,31.18
Josh Allen,Week2,9.76
Josh Allen,Week3,30.92
Josh Allen,Week4,7.3
Josh Allen,Week5,14.64
Josh Allen,Week6,24.4
Zay Flowers,Week1,8.1
Zay Flowers,Week2,18.6
Zay Flowers,Week3,3.8
Zay Flowers,Week4,1.5
Zay Flowers,Week5,15.5
Zay Flowers,Week6,17.9
Rashee Rice,Week1,18.8
Rashee Rice,Week2,16
Rashee Rice,Week3,23.1
Rashee Rice,Week4,0
Rashee Rice,Week5,0
Rashee Rice,Week6,0
Chris Godwin,Week1,18.3
Chris Godwin,Week2,21.2
Chris Godwin,Week3,14.3
Chris Godwin,Week4,9.9
Chris Godwin,Week5,9.1
Chris Godwin,Week6,30
Christian Kirk,Week1,0
Christian Kirk,Week2,0
Christian Kirk,Week3,11.9
Christian Kirk,Week4,15.6
Christian Kirk,Week5,10.8
Christian Kirk,Week6,5.4
Isiah Pacheco,Week1,14.8
Isiah Pacheco,Week2,13.6
Isiah Pacheco,Week3,0
Isiah Pacheco,Week4,0
Isiah Pacheco,Week5,0
Isiah Pacheco,Week6,0
Josh Jacobs,Week1,11.4
Josh Jacobs,Week2,13.1
Josh Jacobs,Week3,5.3
Josh Jacobs,Week4,9.8
Josh Jacobs,Week5,15.9
Josh Jacobs,Week6,10.5
Carson Steele,Week1,0
Carson Steele,Week2,0
Carson Steele,Week3,7.9
Carson Steele,Week4,0
Carson Steele,Week5,0
Carson Steele,Week6,0
Alexander Mattison,Week1,0
Alexander Mattison,Week2,0
Alexander Mattison,Week3,0
Alexander Mattison,Week4,9.1
Alexander Mattison,Week5,0
Alexander Mattison,Week6,0
Bucky Irving,Week1,0
Bucky Irving,Week2,0
Bucky Irving,Week3,0
Bucky Irving,Week4,0
Bucky Irving,Week5,0
Bucky Irving,Week6,17.5
Mark Andrews,Week1,2.4
Mark Andrews,Week2,7.1
Mark Andrews,Week3,0
Mark Andrews,Week4,0
Mark Andrews,Week5,7.5
Mark Andrews,Week6,14.1
Tyler Bass,Week1,11.6
Tyler Bass,Week2,8.3
Tyler Bass,Week3,11
Tyler Bass,Week4,6
Tyler Bass,Week5,9.1
Tyler Bass,Week6,3.2
Chargers Defense,Week1,14
Chargers Defense,Week2,11
Chargers Defense,Week3,5
Chargers Defense,Week4,0
Chargers Defense,Week5,0
Chargers Defense,Week6,0
Miami Defense,Week1,0
Miami Defense,Week2,0
Miami Defense,Week3,2
Miami Defense,Week4,0
Miami Defense,Week5,0
Miami Defense,Week6,0
Denver Defense,Week1,0
Denver Defense,Week2,0
Denver Defense,Week3,0
Denver Defense,Week4,0
Denver Defense,Week5,16
Denver Defense,Week6,3
