Movie,Character,Minutes
The Avengers,Iron Man,37
The Avengers,Captain America,28
The Avengers,Hulk,21
The Avengers,Thor,14
The Avengers,Hawkeye,12
The Avengers,Black Widow,24
Age of Ultron,Iron Man,27
Age of Ultron,Captain America,21
Age of Ultron,Hulk,20
Age of Ultron,Thor,13
Age of Ultron,Hawkeye,19
Age of Ultron,Black Widow,18
Infinity War,Iron Man,18
Infinity War,Captain America,6.5
Infinity War,Hulk,8.5
Infinity War,Thor,15.5
Infinity War,Hawkeye,0
Infinity War,Black Widow,5
Endgame,Iron Man,34
Endgame,Captain America,30
Endgame,Hulk,10
Endgame,Thor,11
Endgame,Hawkeye,15
Endgame,Black Widow,33
