Artist,Record,Type
The Beatles,600,Group
Elvis Presley,500,Male
Michael Jackson,400,Male
Madonna,335,Female
Elton John,300,Male
Led Zeppelin,300,Group
Rihanna,250,Female
Pink Floyd,250,Group
Eminem,220,Male
Taylor Swift,200,Female
Whitney Houston,200,Female
Queen,200,Group
Celine Dion,200,Female
AC/DC,200,Group
Mariah Carey,200,Female
The Rolling Stones,200,Group
U2,175,Group
Billy Joel,150,Male
Phil Collins,150,Male
ABBA,150,Grop
Garth Brooks,150,Male
Kanye West,140,Male
Justin Bieber,140,Male
Bruce Springsteen,135,Male
Drake,130,Male
